method,prompt_type,prompt_id,reuse_interval,round,staleness_rounds,draft_tokens,accepted_len,retrieval_update,selected_count,oracle_overlap,pipeline_hit,pipeline_reuse,pipeline_wait_ms
reuse_R1_k8,pg19,1,1,0,0,32,2,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,1,0,32,2,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,2,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,3,0,32,1,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,4,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,5,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,6,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,7,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,8,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,9,0,32,0,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,10,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,11,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,12,0,32,1,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,13,0,32,0,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,14,0,32,3,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,15,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,16,0,32,1,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,17,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,18,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,19,0,32,0,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,20,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,21,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,22,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,23,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,24,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,25,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,26,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,27,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,28,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,29,0,32,0,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,30,0,32,2,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,31,0,32,1,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,32,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,33,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,34,0,32,0,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,35,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,36,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,37,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,38,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,39,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,40,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,41,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,42,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,43,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,44,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,45,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,46,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,47,0,32,3,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,48,0,32,0,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,49,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,50,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,51,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,52,0,32,1,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,53,0,32,2,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,54,0,32,3,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,55,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,56,0,32,3,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,57,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,58,0,32,4,1,8,,0,0,0.0
reuse_R1_k8,pg19,1,1,59,0,32,4,1,8,,0,0,0.0
