network,method,prompt_type,prompt_id,state,run_length
good,sync_k8,humaneval,6,dead,2
good,sync_k8,humaneval,6,full,1
good,sync_k8,humaneval,6,dead,1
good,sync_k8,humaneval,6,middle,1
good,sync_k8,humaneval,6,full,4
good,sync_k8,humaneval,6,middle,1
good,sync_k8,humaneval,6,full,2
good,sync_k8,humaneval,6,middle,1
good,sync_k8,humaneval,6,full,2
good,sync_k8,humaneval,7,dead,3
good,sync_k8,humaneval,7,full,1
good,sync_k8,humaneval,7,dead,1
good,sync_k8,humaneval,7,middle,1
good,sync_k8,humaneval,7,dead,9
good,sync_k8,humaneval,7,middle,1
good,sync_k8,humaneval,7,full,2
good,sync_k8,humaneval,7,dead,1
good,sync_k8,humaneval,7,full,1
good,sync_k8,humaneval,7,middle,1
good,sync_k8,humaneval,7,dead,1
good,sync_k8,humaneval,7,full,1
good,sync_k8,humaneval,7,dead,3
good,sync_k8,humaneval,7,full,1
good,sync_k8,humaneval,7,middle,2
good,sync_k8,humaneval,7,full,2
good,sync_k8,humaneval,8,dead,1
good,sync_k8,humaneval,8,full,5
good,sync_k8,humaneval,8,middle,1
good,sync_k8,humaneval,8,dead,3
good,sync_k8,humaneval,8,full,7
good,sync_k8,humaneval,8,middle,1
good,sync_k8,humaneval,9,dead,3
good,sync_k8,humaneval,9,middle,1
good,sync_k8,humaneval,9,full,1
good,sync_k8,humaneval,9,middle,1
good,sync_k8,humaneval,9,full,1
good,sync_k8,humaneval,9,dead,1
good,sync_k8,humaneval,9,full,6
good,sync_k8,humaneval,9,middle,1
good,sync_k8,humaneval,9,full,4
good,sync_k8,humaneval,10,full,1
good,sync_k8,humaneval,10,dead,1
good,sync_k8,humaneval,10,middle,1
good,sync_k8,humaneval,10,full,3
good,sync_k8,humaneval,10,middle,1
good,sync_k8,humaneval,10,dead,1
good,sync_k8,humaneval,10,full,7
good,sync_k8,humaneval,10,dead,3
good,sync_k8,humaneval,10,middle,1
good,sync_k8,humaneval,10,full,1
good,tree_k8_b3,gsm8k,1,full,3
good,tree_k8_b3,gsm8k,1,dead,1
good,tree_k8_b3,gsm8k,1,full,3
good,tree_k8_b3,gsm8k,1,middle,2
good,tree_k8_b3,gsm8k,1,dead,1
good,tree_k8_b3,gsm8k,1,middle,1
good,tree_k8_b3,gsm8k,1,dead,3
good,tree_k8_b3,gsm8k,1,middle,1
good,tree_k8_b3,gsm8k,1,full,5
good,tree_k8_b3,gsm8k,2,dead,1
good,tree_k8_b3,gsm8k,2,middle,1
good,tree_k8_b3,gsm8k,2,full,2
good,tree_k8_b3,gsm8k,2,middle,1
good,tree_k8_b3,gsm8k,2,dead,3
good,tree_k8_b3,gsm8k,2,full,4
good,tree_k8_b3,gsm8k,2,dead,1
good,tree_k8_b3,gsm8k,2,full,1
good,tree_k8_b3,gsm8k,2,dead,1
good,tree_k8_b3,gsm8k,2,middle,1
good,tree_k8_b3,gsm8k,2,full,4
good,tree_k8_b3,gsm8k,3,middle,1
good,tree_k8_b3,gsm8k,3,full,3
good,tree_k8_b3,gsm8k,3,middle,1
good,tree_k8_b3,gsm8k,3,full,3
good,tree_k8_b3,gsm8k,3,dead,1
good,tree_k8_b3,gsm8k,3,middle,3
good,tree_k8_b3,gsm8k,3,full,5
good,tree_k8_b3,gsm8k,4,full,2
good,tree_k8_b3,gsm8k,4,middle,1
good,tree_k8_b3,gsm8k,4,full,1
good,tree_k8_b3,gsm8k,4,dead,1
good,tree_k8_b3,gsm8k,4,full,3
good,tree_k8_b3,gsm8k,4,dead,1
good,tree_k8_b3,gsm8k,4,full,5
good,tree_k8_b3,gsm8k,4,dead,1
good,tree_k8_b3,gsm8k,4,full,2
good,tree_k8_b3,gsm8k,5,full,1
good,tree_k8_b3,gsm8k,5,middle,1
good,tree_k8_b3,gsm8k,5,full,1
good,tree_k8_b3,gsm8k,5,dead,2
good,tree_k8_b3,gsm8k,5,middle,1
good,tree_k8_b3,gsm8k,5,dead,1
good,tree_k8_b3,gsm8k,5,middle,2
good,tree_k8_b3,gsm8k,5,dead,4
good,tree_k8_b3,gsm8k,5,full,1
good,tree_k8_b3,gsm8k,5,dead,2
good,tree_k8_b3,gsm8k,5,full,1
good,tree_k8_b3,gsm8k,5,middle,1
good,tree_k8_b3,gsm8k,5,dead,1
good,tree_k8_b3,gsm8k,5,full,6
good,tree_k8_b3,gsm8k,6,full,1
good,tree_k8_b3,gsm8k,6,dead,1
good,tree_k8_b3,gsm8k,6,middle,2
good,tree_k8_b3,gsm8k,6,dead,1
good,tree_k8_b3,gsm8k,6,full,1
good,tree_k8_b3,gsm8k,6,dead,1
good,tree_k8_b3,gsm8k,6,full,2
good,tree_k8_b3,gsm8k,6,middle,1
good,tree_k8_b3,gsm8k,6,dead,1
good,tree_k8_b3,gsm8k,6,middle,1
good,tree_k8_b3,gsm8k,6,dead,1
good,tree_k8_b3,gsm8k,6,full,5
good,tree_k8_b3,gsm8k,6,middle,1
good,tree_k8_b3,gsm8k,6,full,1
good,tree_k8_b3,gsm8k,7,middle,1
good,tree_k8_b3,gsm8k,7,full,1
good,tree_k8_b3,gsm8k,7,middle,2
good,tree_k8_b3,gsm8k,7,full,1
good,tree_k8_b3,gsm8k,7,dead,1
good,tree_k8_b3,gsm8k,7,full,10
good,tree_k8_b3,gsm8k,8,middle,1
good,tree_k8_b3,gsm8k,8,full,2
good,tree_k8_b3,gsm8k,8,dead,1
good,tree_k8_b3,gsm8k,8,full,5
good,tree_k8_b3,gsm8k,8,middle,1
good,tree_k8_b3,gsm8k,8,dead,1
good,tree_k8_b3,gsm8k,8,middle,1
good,tree_k8_b3,gsm8k,8,full,5
good,tree_k8_b3,gsm8k,9,middle,1
good,tree_k8_b3,gsm8k,9,full,13
good,tree_k8_b3,gsm8k,9,middle,1
good,tree_k8_b3,gsm8k,9,full,1
good,tree_k8_b3,gsm8k,10,full,1
good,tree_k8_b3,gsm8k,10,middle,1
good,tree_k8_b3,gsm8k,10,full,1
good,tree_k8_b3,gsm8k,10,middle,2
good,tree_k8_b3,gsm8k,10,dead,1
good,tree_k8_b3,gsm8k,10,middle,1
good,tree_k8_b3,gsm8k,10,full,3
good,tree_k8_b3,gsm8k,10,middle,1
good,tree_k8_b3,gsm8k,10,full,6
good,tree_k8_b3,humaneval,1,dead,2
good,tree_k8_b3,humaneval,1,full,1
good,tree_k8_b3,humaneval,1,middle,1
good,tree_k8_b3,humaneval,1,full,2
good,tree_k8_b3,humaneval,1,dead,1
good,tree_k8_b3,humaneval,1,full,2
good,tree_k8_b3,humaneval,1,dead,5
good,tree_k8_b3,humaneval,1,full,3
good,tree_k8_b3,humaneval,1,middle,1
good,tree_k8_b3,humaneval,1,full,3
good,tree_k8_b3,humaneval,2,full,2
good,tree_k8_b3,humaneval,2,dead,2
good,tree_k8_b3,humaneval,2,full,3
good,tree_k8_b3,humaneval,2,dead,4
good,tree_k8_b3,humaneval,2,middle,1
good,tree_k8_b3,humaneval,2,dead,1
good,tree_k8_b3,humaneval,2,middle,1
good,tree_k8_b3,humaneval,2,dead,1
good,tree_k8_b3,humaneval,2,full,1
good,tree_k8_b3,humaneval,2,dead,5
good,tree_k8_b3,humaneval,2,full,5
good,tree_k8_b3,humaneval,3,dead,2
good,tree_k8_b3,humaneval,3,middle,1
good,tree_k8_b3,humaneval,3,dead,3
good,tree_k8_b3,humaneval,3,middle,1
good,tree_k8_b3,humaneval,3,full,4
good,tree_k8_b3,humaneval,3,dead,1
good,tree_k8_b3,humaneval,3,middle,1
good,tree_k8_b3,humaneval,3,dead,1
good,tree_k8_b3,humaneval,3,middle,4
good,tree_k8_b3,humaneval,3,full,1
good,tree_k8_b3,humaneval,3,middle,1
good,tree_k8_b3,humaneval,3,full,2
good,tree_k8_b3,humaneval,4,dead,2
good,tree_k8_b3,humaneval,4,middle,1
good,tree_k8_b3,humaneval,4,full,2
good,tree_k8_b3,humaneval,4,dead,1
good,tree_k8_b3,humaneval,4,full,4
good,tree_k8_b3,humaneval,4,middle,1
good,tree_k8_b3,humaneval,4,dead,1
good,tree_k8_b3,humaneval,4,full,1
good,tree_k8_b3,humaneval,4,middle,1
good,tree_k8_b3,humaneval,4,full,1
good,tree_k8_b3,humaneval,4,dead,2
good,tree_k8_b3,humaneval,4,full,1
good,tree_k8_b3,humaneval,4,middle,1
good,tree_k8_b3,humaneval,4,full,1
good,tree_k8_b3,humaneval,4,middle,1
good,tree_k8_b3,humaneval,4,dead,1
good,tree_k8_b3,humaneval,4,full,1
good,tree_k8_b3,humaneval,5,dead,1
good,tree_k8_b3,humaneval,5,middle,1
good,tree_k8_b3,humaneval,5,dead,2
good,tree_k8_b3,humaneval,5,full,2
good,tree_k8_b3,humaneval,5,middle,1
good,tree_k8_b3,humaneval,5,full,7
good,tree_k8_b3,humaneval,5,middle,1
good,tree_k8_b3,humaneval,5,dead,1
good,tree_k8_b3,humaneval,5,middle,1
good,tree_k8_b3,humaneval,5,dead,2
good,tree_k8_b3,humaneval,5,middle,2
good,tree_k8_b3,humaneval,5,full,1
good,tree_k8_b3,humaneval,6,dead,2
good,tree_k8_b3,humaneval,6,full,3
good,tree_k8_b3,humaneval,6,dead,2
good,tree_k8_b3,humaneval,6,full,1
good,tree_k8_b3,humaneval,6,dead,1
good,tree_k8_b3,humaneval,6,middle,1
good,tree_k8_b3,humaneval,6,full,4
good,tree_k8_b3,humaneval,6,middle,1
good,tree_k8_b3,humaneval,6,full,2
good,tree_k8_b3,humaneval,6,middle,1
good,tree_k8_b3,humaneval,6,full,2
good,tree_k8_b3,humaneval,7,dead,3
good,tree_k8_b3,humaneval,7,full,1
good,tree_k8_b3,humaneval,7,dead,1
good,tree_k8_b3,humaneval,7,middle,1
good,tree_k8_b3,humaneval,7,dead,9
good,tree_k8_b3,humaneval,7,middle,1
good,tree_k8_b3,humaneval,7,full,2
good,tree_k8_b3,humaneval,7,dead,1
good,tree_k8_b3,humaneval,7,full,1
good,tree_k8_b3,humaneval,7,middle,1
good,tree_k8_b3,humaneval,7,full,1
good,tree_k8_b3,humaneval,7,dead,3
good,tree_k8_b3,humaneval,7,full,1
good,tree_k8_b3,humaneval,7,middle,2
good,tree_k8_b3,humaneval,7,full,2
good,tree_k8_b3,humaneval,8,dead,1
good,tree_k8_b3,humaneval,8,full,5
good,tree_k8_b3,humaneval,8,middle,1
good,tree_k8_b3,humaneval,8,dead,3
good,tree_k8_b3,humaneval,8,full,7
good,tree_k8_b3,humaneval,8,middle,1
good,tree_k8_b3,humaneval,9,dead,3
good,tree_k8_b3,humaneval,9,middle,1
good,tree_k8_b3,humaneval,9,full,1
good,tree_k8_b3,humaneval,9,middle,1
good,tree_k8_b3,humaneval,9,full,1
good,tree_k8_b3,humaneval,9,dead,1
good,tree_k8_b3,humaneval,9,full,6
good,tree_k8_b3,humaneval,9,middle,1
good,tree_k8_b3,humaneval,9,full,4
good,tree_k8_b3,humaneval,10,full,1
good,tree_k8_b3,humaneval,10,dead,1
good,tree_k8_b3,humaneval,10,middle,1
good,tree_k8_b3,humaneval,10,full,3
good,tree_k8_b3,humaneval,10,middle,1
good,tree_k8_b3,humaneval,10,dead,1
good,tree_k8_b3,humaneval,10,full,7
good,tree_k8_b3,humaneval,10,dead,3
good,tree_k8_b3,humaneval,10,middle,1
good,tree_k8_b3,humaneval,10,full,1
medium,sync_k8,gsm8k,1,full,3
medium,sync_k8,gsm8k,1,dead,1
medium,sync_k8,gsm8k,1,full,3
medium,sync_k8,gsm8k,1,middle,2
medium,sync_k8,gsm8k,1,dead,1
medium,sync_k8,gsm8k,1,middle,1
medium,sync_k8,gsm8k,1,dead,3
medium,sync_k8,gsm8k,1,middle,1
medium,sync_k8,gsm8k,1,full,5
medium,sync_k8,gsm8k,2,dead,1
medium,sync_k8,gsm8k,2,middle,1
medium,sync_k8,gsm8k,2,full,2
medium,sync_k8,gsm8k,2,middle,1
medium,sync_k8,gsm8k,2,dead,3
medium,sync_k8,gsm8k,2,full,4
medium,sync_k8,gsm8k,2,dead,1
medium,sync_k8,gsm8k,2,full,1
medium,sync_k8,gsm8k,2,dead,1
medium,sync_k8,gsm8k,2,middle,1
medium,sync_k8,gsm8k,2,full,4
medium,sync_k8,gsm8k,3,middle,1
medium,sync_k8,gsm8k,3,full,3
medium,sync_k8,gsm8k,3,middle,1
medium,sync_k8,gsm8k,3,full,3
medium,sync_k8,gsm8k,3,dead,1
medium,sync_k8,gsm8k,3,middle,3
medium,sync_k8,gsm8k,3,full,5
medium,sync_k8,gsm8k,4,full,2
medium,sync_k8,gsm8k,4,middle,1
medium,sync_k8,gsm8k,4,full,1
medium,sync_k8,gsm8k,4,dead,1
medium,sync_k8,gsm8k,4,full,3
medium,sync_k8,gsm8k,4,dead,1
medium,sync_k8,gsm8k,4,full,5
medium,sync_k8,gsm8k,4,dead,1
medium,sync_k8,gsm8k,4,full,2
medium,sync_k8,gsm8k,5,full,1
medium,sync_k8,gsm8k,5,middle,1
medium,sync_k8,gsm8k,5,full,1
medium,sync_k8,gsm8k,5,dead,2
medium,sync_k8,gsm8k,5,middle,1
medium,sync_k8,gsm8k,5,dead,1
medium,sync_k8,gsm8k,5,middle,2
medium,sync_k8,gsm8k,5,dead,4
medium,sync_k8,gsm8k,5,full,1
medium,sync_k8,gsm8k,5,dead,2
medium,sync_k8,gsm8k,5,full,1
medium,sync_k8,gsm8k,5,middle,1
medium,sync_k8,gsm8k,5,dead,1
medium,sync_k8,gsm8k,5,full,6
medium,sync_k8,gsm8k,6,full,1
medium,sync_k8,gsm8k,6,dead,1
medium,sync_k8,gsm8k,6,middle,2
medium,sync_k8,gsm8k,6,dead,1
medium,sync_k8,gsm8k,6,full,1
medium,sync_k8,gsm8k,6,dead,1
medium,sync_k8,gsm8k,6,full,2
medium,sync_k8,gsm8k,6,middle,1
medium,sync_k8,gsm8k,6,dead,1
medium,sync_k8,gsm8k,6,middle,1
medium,sync_k8,gsm8k,6,dead,1
medium,sync_k8,gsm8k,6,full,5
medium,sync_k8,gsm8k,6,middle,1
medium,sync_k8,gsm8k,6,full,1
medium,sync_k8,gsm8k,7,middle,1
medium,sync_k8,gsm8k,7,full,1
medium,sync_k8,gsm8k,7,middle,2
medium,sync_k8,gsm8k,7,full,1
medium,sync_k8,gsm8k,7,dead,1
medium,sync_k8,gsm8k,7,full,8
medium,sync_k8,gsm8k,7,middle,1
medium,sync_k8,gsm8k,7,full,1
medium,sync_k8,gsm8k,8,middle,1
medium,sync_k8,gsm8k,8,full,2
medium,sync_k8,gsm8k,8,dead,1
medium,sync_k8,gsm8k,8,full,5
medium,sync_k8,gsm8k,8,middle,1
medium,sync_k8,gsm8k,8,dead,1
medium,sync_k8,gsm8k,8,middle,1
medium,sync_k8,gsm8k,8,full,5
medium,sync_k8,gsm8k,9,middle,1
medium,sync_k8,gsm8k,9,full,13
medium,sync_k8,gsm8k,9,middle,1
medium,sync_k8,gsm8k,9,full,1
medium,sync_k8,gsm8k,10,full,1
medium,sync_k8,gsm8k,10,middle,1
medium,sync_k8,gsm8k,10,full,1
medium,sync_k8,gsm8k,10,middle,2
medium,sync_k8,gsm8k,10,dead,1
medium,sync_k8,gsm8k,10,middle,1
medium,sync_k8,gsm8k,10,full,3
medium,sync_k8,gsm8k,10,middle,1
medium,sync_k8,gsm8k,10,full,6
medium,sync_k8,humaneval,1,dead,2
medium,sync_k8,humaneval,1,full,1
